case_id,target_size,rotation,noise_sigma,ground_truth_x,ground_truth_y,predicted_x,predicted_y,error_pixels,estimated_size,estimated_rotation,confidence,success
1,110,-3.0,0.0,850,597,850,597,0.0,110,-3.0,1.0,True
2,105,-1.0,10.0,591,395,592,396,1.41,105,-1.0,0.9776,True
3,90,-1.0,15.0,319,222,319,222,0.0,90,-1.0,0.9521,True
4,95,3.0,15.0,701,57,702,58,1.41,95,3.0,0.9524,True
5,105,4.0,15.0,439,134,440,134,1.0,105,4.0,0.9548,True
6,90,3.0,15.0,514,354,514,354,0.0,90,3.0,0.954,True
7,90,-2.0,0.0,103,118,103,118,0.0,90,-2.0,1.0,True
8,110,2.0,20.0,374,210,374,210,0.0,110,2.0,0.9327,True
9,95,1.0,15.0,702,107,702,108,1.0,95,1.0,0.9531,True
10,105,-3.0,10.0,668,145,668,146,1.0,105,-3.0,0.9787,True
11,105,3.0,15.0,312,310,312,310,0.0,105,3.0,0.954,True
12,100,0.0,5.0,713,329,713,329,0.0,100,0.0,0.9954,True
13,90,-2.0,0.0,182,762,182,762,0.0,90,-2.0,1.0,True
14,95,3.0,10.0,582,442,582,442,0.0,95,3.0,0.9777,True
15,90,-1.0,5.0,557,375,557,375,0.0,90,-1.0,0.9944,True
16,105,3.0,0.0,624,261,624,262,1.0,105,3.0,1.0,True
17,100,0.0,20.0,928,868,928,868,0.0,100,0.0,0.9353,True
18,95,-3.0,0.0,847,583,848,584,1.41,95,-3.0,1.0,True
19,100,1.0,5.0,358,250,358,250,0.0,100,1.0,0.9941,True
20,100,1.0,5.0,811,569,811,569,0.0,100,1.0,0.9943,True
21,110,-3.0,20.0,215,390,215,390,0.0,110,-3.0,0.9346,True
22,110,4.0,15.0,825,65,825,65,0.0,110,4.0,0.9592,True
23,100,1.0,5.0,290,358,290,358,0.0,100,1.0,0.9942,True
24,95,0.0,20.0,552,342,552,342,0.0,95,0.0,0.937,True
25,105,1.0,10.0,707,781,708,782,1.41,105,1.0,0.9783,True
26,100,-1.0,20.0,605,210,605,210,0.0,100,-1.0,0.9187,True
27,90,-2.0,10.0,604,79,604,79,0.0,90,-2.0,0.9784,True
28,105,-1.0,5.0,572,776,572,776,0.0,105,-1.0,0.9946,True
29,90,-2.0,0.0,550,799,550,799,0.0,90,-2.0,1.0,True
30,105,-1.0,5.0,386,269,386,270,1.0,105,-1.0,0.9945,True
